Invoice_Number,Invoice_Date,Due_Date,Posting_Date,Vendor_ID,Vendor_Country,Vendor_Payment_Terms,Vendor_Risk_Score,Invoice_Amount,Tax_Amount,Tax_Code,Tax_Rate,Payment_Method,Number_of_Approvals,Approval_Time_Days,Payment_Status,Three_Way_Match,PO_Amount_vs_Invoice_Diff,Goods_Receipt_vs_Invoice_Diff,Historical_Non_Compliance,Non_Compliant
100066,2024-03-07,2024-03-21,2024-03-11,1600,Germany,Net 30,4,38616.05,1025.03,A1,5,Cash,1,5,Pending,Match,241.09,-6,0,0
100067,2024-03-08,2024-03-22,2024-03-12,1315,UK,Net 60,6,31693.67,743.0,D4,28,Wire,1,8,Paid,Match,-180.86,-8,0,0
100068,2024-03-09,2024-03-23,2024-03-13,1013,UK,Net 30,4,49430.28,4280.56,C3,28,Cash,1,8,Paid,Match,-395.29,-9,0,0
100069,2024-03-10,2024-03-24,2024-03-14,1241,UK,Net 30,4,17543.25,3407.78,A1,5,Cash,1,5,Paid,Match,216.75,-5,0,0
100070,2024-03-11,2024-03-25,2024-03-15,1776,India,Net 45,4,3557.24,941.03,X99,5,ACH,4,67,Paid,Mismatch,4204.38,-4,1,1
100071,2024-03-12,2024-03-26,2024-03-16,1345,China,Net 30,9,36850.33,1354.1,B2,18,Cash,4,7,Paid,Mismatch,-333.64,-3,0,0
100072,2024-03-13,2024-03-27,2024-03-17,1564,India,Net 30,7,26325.8,4005.31,C3,28,Wire,4,13,Overdue,Match,-352.28,-7,0,0
100073,2024-03-14,2024-03-28,2024-03-18,1897,UK,Net 60,3,11053.59,2274.8,C3,18,ACH,4,13,Pending,Match,-185.09,1,0,0
100074,2024-03-15,2024-03-29,2024-03-19,1339,Germany,Net 45,3,39195.58,3356.0,D4,5,Cash,3,17,Overdue,Match,92.68,1,0,0
100075,2024-03-16,2024-03-30,2024-03-20,1091,USA,Net 30,6,10585.9,1598.58,C3,5,Wire,4,4,Pending,Match,-141.6,6,0,0
100076,2024-03-17,2024-03-31,2024-03-21,1366,China,Net 30,6,13402.75,1912.34,D4,5,Credit Card,4,18,Overdue,Match,-479.34,8,0,0
100077,2024-03-18,2024-04-01,2024-03-22,1955,China,Net 45,4,5080.16,4953.66,B2,5,ACH,1,10,Overdue,Match,-403.09,-2,0,0
100078,2024-03-19,2024-04-02,2024-03-23,1454,India,Net 60,9,20271.9,1245.61,A1,12,Cash,3,3,Overdue,Match,-209.5,1,0,0
100079,2024-03-20,2024-04-03,2024-03-24,1427,China,Net 45,4,21237.0,2537.22,D4,12,Cash,1,12,Paid,Match,159.7,6,0,0
100080,2024-03-21,2024-04-04,2024-03-25,1508,UK,Net 45,9,25970.81,4223.57,C3,12,ACH,3,1,Pending,Match,-401.48,-1,0,0
100081,2024-03-22,2024-04-05,2024-03-26,1775,UK,Net 30,4,35593.73,1203.72,C3,18,Wire,2,27,Paid,Match,60.66,8,0,0
100082,2024-03-23,2024-04-06,2024-03-27,1942,India,Net 30,2,45352.0,2081.92,D4,28,Cash,3,11,Paid,Match,-380.11,0,0,0
100083,2024-03-24,2024-04-07,2024-03-28,1034,UK,Net 60,2,7317.84,3079.31,B2,5,Wire,3,18,Overdue,Match,-288.38,9,0,0
100084,2024-03-25,2024-04-08,2024-03-29,1205,Germany,Net 30,5,3190.23,2411.13,X99,28,ACH,1,74,Pending,Mismatch,2422.9,2,1,1
100085,2024-03-26,2024-04-09,2024-03-30,1080,India,Net 30,4,1417.3,2302.92,C3,12,Cash,3,17,Pending,Match,-432.77,-7,0,0
100086,2024-03-27,2024-04-10,2024-03-31,1931,Germany,Net 45,7,7609.26,1818.92,B2,5,Credit Card,3,8,Pending,Match,171.33,4,0,0
100087,2024-03-28,2024-04-11,2024-04-01,1561,USA,Net 30,5,33068.5,2937.37,X99,5,Credit Card,1,62,Pending,Mismatch,3748.32,1,1,1
100088,2024-03-29,2024-04-12,2024-04-02,1871,Germany,Net 60,6,36510.12,3125.62,A1,18,Credit Card,2,19,Paid,Match,331.05,-1,1,0
100089,2024-03-30,2024-04-13,2024-04-03,1387,USA,Net 45,4,39432.03,3269.91,C3,28,ACH,2,17,Paid,Mismatch,-401.11,-4,0,0
100090,2024-03-31,2024-04-14,2024-04-04,1001,USA,Net 60,2,12563.56,361.14,D4,18,Cash,2,2,Pending,Match,-355.27,-9,0,0
100091,2024-04-01,2024-04-15,2024-04-05,1389,Germany,Net 45,9,15641.79,3158.86,C3,12,ACH,3,3,Paid,Match,-193.54,-4,0,0
100092,2024-04-02,2024-04-16,2024-04-06,1565,India,Net 30,7,24415.16,4766.65,C3,28,Cash,1,3,Pending,Match,265.87,-3,0,0
100093,2024-04-03,2024-04-17,2024-04-07,1105,UK,Net 45,4,3627.56,2709.52,C3,12,Credit Card,2,6,Paid,Match,-194.24,8,0,0
100094,2024-04-04,2024-04-18,2024-04-08,1771,UK,Net 45,3,30751.51,3579.18,B2,18,Credit Card,2,10,Overdue,Match,-91.58,-5,0,0
100095,2024-04-05,2024-04-19,2024-04-09,1821,USA,Net 30,3,49194.88,2788.09,D4,18,Wire,2,24,Overdue,Match,-198.4,-3,0,0
100096,2024-04-06,2024-04-20,2024-04-10,1476,USA,Net 30,9,18359.91,4275.16,X99,5,ACH,2,42,Pending,Mismatch,9317.83,9,1,1
100097,2024-04-07,2024-04-21,2024-04-11,1702,India,Net 60,5,37765.95,4648.62,C3,28,ACH,1,18,Pending,Match,439.43,-7,0,0
100098,2024-04-08,2024-04-22,2024-04-12,1401,China,Net 60,3,25251.68,929.26,X99,28,Wire,2,36,Paid,Mismatch,7821.95,9,1,1
100099,2024-04-09,2024-04-23,2024-04-13,1729,Germany,Net 30,5,6826.69,2189.93,A1,5,Credit Card,3,14,Pending,Match,287.83,-2,0,0
100100,2024-04-10,2024-04-24,2024-04-14,1555,USA,Net 30,2,29320.75,1967.99,D4,28,Credit Card,3,16,Pending,Mismatch,158.36,-6,0,0
100101,2024-04-11,2024-04-25,2024-04-15,1161,UK,Net 30,4,15343.78,2032.02,C3,12,ACH,1,7,Paid,Match,14.25,-5,1,0
100102,2024-04-12,2024-04-26,2024-04-16,1201,India,Net 45,2,2202.96,636.37,D4,12,Cash,4,1,Pending,Match,-410.32,8,0,0
100103,2024-04-13,2024-04-27,2024-04-17,1957,Germany,Net 45,2,31929.02,4069.94,A1,18,Credit Card,2,17,Pending,Match,142.73,1,0,0
100104,2024-04-14,2024-04-28,2024-04-18,1995,India,Net 45,8,43017.15,188.47,A1,12,Wire,2,23,Overdue,Match,-344.63,-6,0,0
100105,2024-04-15,2024-04-29,2024-04-19,1269,Germany,Net 30,1,17566.1,2645.85,D4,28,Wire,3,25,Overdue,Match,-85.62,-6,0,0
100106,2024-04-16,2024-04-30,2024-04-20,1862,Germany,Net 60,7,19819.63,3312.77,A1,5,Wire,1,5,Overdue,Mismatch,129.11,7,0,0
100107,2024-04-17,2024-05-01,2024-04-21,1815,USA,Net 30,5,44605.57,1045.27,X99,18,ACH,4,71,Pending,Mismatch,6061.58,-5,1,1
100108,2024-04-18,2024-05-02,2024-04-22,1270,India,Net 45,8,40773.64,4530.19,D4,5,ACH,3,1,Paid,Match,185.05,-2,0,0
100109,2024-04-19,2024-05-03,2024-04-23,1455,India,Net 45,1,35890.16,4194.36,A1,18,ACH,4,21,Overdue,Match,171.53,0,0,0
100110,2024-04-20,2024-05-04,2024-04-24,1461,UK,Net 30,7,12815.45,2360.71,A1,18,ACH,1,27,Pending,Match,-350.96,3,0,0
100111,2024-04-21,2024-05-05,2024-04-25,1726,UK,Net 30,5,45555.72,2061.63,D4,5,Wire,1,17,Overdue,Match,-153.87,-9,0,0
100112,2024-04-22,2024-05-06,2024-04-26,1251,USA,Net 45,4,8143.58,1190.47,B2,12,Wire,1,10,Paid,Match,-457.09,3,0,0
100113,2024-04-23,2024-05-07,2024-04-27,1701,USA,Net 45,7,31525.14,3652.67,D4,12,ACH,3,12,Paid,Match,219.48,8,1,0
100114,2024-04-24,2024-05-08,2024-04-28,1295,China,Net 45,2,1925.66,667.4,A1,12,ACH,1,25,Paid,Match,452.59,-1,0,0
100115,2024-04-25,2024-05-09,2024-04-29,1724,UK,Net 30,1,32364.13,3404.39,X99,12,Wire,3,47,Paid,Mismatch,7358.36,-6,1,1
100116,2024-04-26,2024-05-10,2024-04-30,1719,Germany,Net 45,1,14218.65,4213.86,A1,5,ACH,3,25,Paid,Match,-412.3,-7,0,0
100117,2024-04-27,2024-05-11,2024-05-01,1748,India,Net 45,1,22759.01,1150.07,C3,28,ACH,2,2,Paid,Match,-24.43,-4,0,0
100118,2024-04-28,2024-05-12,2024-05-02,1337,USA,Net 60,5,17590.6,4333.47,D4,18,ACH,3,23,Pending,Match,356.7,2,0,0
100119,2024-04-29,2024-05-13,2024-05-03,1878,India,Net 30,7,9051.46,176.28,D4,5,ACH,3,16,Overdue,Match,51.97,-1,0,0
100120,2024-04-30,2024-05-14,2024-05-04,1052,India,Net 60,2,31288.05,4564.81,A1,12,Credit Card,2,15,Paid,Mismatch,-453.22,-1,0,0
100121,2024-05-01,2024-05-15,2024-05-05,1791,China,Net 60,8,44157.79,600.63,A1,12,ACH,4,28,Overdue,Match,474.27,-7,0,0
100122,2024-05-02,2024-05-16,2024-05-06,1921,UK,Net 45,4,47974.67,3232.34,A1,5,Wire,2,13,Overdue,Match,328.65,5,0,0
100123,2024-05-03,2024-05-17,2024-05-07,1216,USA,Net 30,3,10021.14,1257.91,A1,18,Wire,2,18,Pending,Match,-368.41,4,0,0
100124,2024-05-04,2024-05-18,2024-05-08,1763,India,Net 45,8,36009.95,4184.4,D4,5,Wire,1,28,Paid,Match,421.8,0,0,0
100125,2024-05-05,2024-05-19,2024-05-09,1187,USA,Net 30,2,33384.8,2566.38,A1,5,Wire,1,20,Paid,Match,-49.31,8,0,0
100126,2024-05-06,2024-05-20,2024-05-10,1379,Germany,Net 60,3,17497.2,684.85,D4,28,ACH,2,22,Pending,Match,-128.1,-8,0,0
100127,2024-05-07,2024-05-21,2024-05-11,1492,China,Net 30,3,1445.41,2859.25,B2,5,Credit Card,1,14,Pending,Match,-38.95,4,0,0
100128,2024-05-08,2024-05-22,2024-05-12,1040,Germany,Net 45,1,34644.67,2045.33,D4,28,Cash,2,18,Pending,Match,334.57,5,0,0
100129,2024-05-09,2024-05-23,2024-05-13,1156,USA,Net 45,6,47302.0,3310.62,X99,18,Cash,1,56,Pending,Mismatch,8452.16,3,1,1
100130,2024-05-10,2024-05-24,2024-05-14,1014,USA,Net 45,2,31789.95,4410.7,A1,5,Cash,3,2,Pending,Match,-440.75,-6,0,0
100131,2024-05-11,2024-05-25,2024-05-15,1812,UK,Net 30,1,22046.99,2052.85,B2,5,Cash,1,3,Overdue,Mismatch,457.6,6,0,0
100132,2024-05-12,2024-05-26,2024-05-16,1064,India,Net 60,2,26495.12,1456.5,X99,12,Wire,1,75,Pending,Mismatch,7811.6,7,1,1
100133,2024-05-13,2024-05-27,2024-05-17,1856,India,Net 60,6,10381.63,82.43,X99,5,ACH,3,88,Paid,Mismatch,8711.33,8,1,1
100134,2024-05-14,2024-05-28,2024-05-18,1838,Germany,Net 30,4,37651.94,2878.45,D4,12,ACH,2,16,Paid,Match,136.14,-10,0,0
100135,2024-05-15,2024-05-29,2024-05-19,1520,China,Net 45,6,37447.78,2017.35,A1,12,Cash,1,22,Pending,Match,-312.47,-2,0,0
100136,2024-05-16,2024-05-30,2024-05-20,1343,India,Net 60,9,7703.11,1879.5,D4,12,Cash,1,15,Pending,Match,-329.27,3,0,0
100137,2024-05-17,2024-05-31,2024-05-21,1128,UK,Net 45,8,43959.93,922.85,A1,18,Credit Card,3,12,Pending,Match,370.33,9,0,0
100138,2024-05-18,2024-06-01,2024-05-22,1647,Germany,Net 30,1,13824.89,2155.98,A1,28,Credit Card,3,9,Pending,Match,-80.31,9,0,0
100139,2024-05-19,2024-06-02,2024-05-23,1471,Germany,Net 45,8,49121.68,4922.37,C3,12,Credit Card,3,26,Pending,Match,154.58,0,0,0
100140,2024-05-20,2024-06-03,2024-05-24,1062,UK,Net 60,9,19453.7,1495.79,C3,5,Wire,4,14,Paid,Match,4.07,-9,0,0
100141,2024-05-21,2024-06-04,2024-05-25,1138,China,Net 60,6,9305.26,3002.53,D4,5,ACH,3,29,Overdue,Match,227.35,9,0,0
100142,2024-05-22,2024-06-05,2024-05-26,1498,UK,Net 45,5,17910.15,3884.67,A1,12,Wire,2,21,Pending,Match,-20.76,-6,0,0
100143,2024-05-23,2024-06-06,2024-05-27,1592,China,Net 30,6,22288.93,3748.3,B2,12,Wire,1,16,Pending,Match,-212.62,4,0,0
100144,2024-05-24,2024-06-07,2024-05-28,1391,UK,Net 45,6,3930.73,1650.58,A1,5,ACH,1,11,Pending,Match,-136.62,1,0,0
100145,2024-05-25,2024-06-08,2024-05-29,1674,UK,Net 30,9,29121.81,3058.19,B2,12,Credit Card,4,6,Paid,Mismatch,359.08,3,0,0
100146,2024-05-26,2024-06-09,2024-05-30,1418,USA,Net 45,4,30082.81,4357.61,X99,28,ACH,1,68,Paid,Mismatch,8563.7,0,1,1
100147,2024-05-27,2024-06-10,2024-05-31,1288,Germany,Net 60,2,37077.06,87.08,X99,28,Cash,1,48,Overdue,Mismatch,1836.05,-2,1,1
100148,2024-05-28,2024-06-11,2024-06-01,1378,UK,Net 30,9,1943.91,2184.31,B2,18,Credit Card,2,8,Overdue,Match,434.61,9,0,0
100149,2024-05-29,2024-06-12,2024-06-02,1772,UK,Net 30,2,27291.29,1129.12,B2,12,ACH,1,16,Overdue,Match,296.6,-3,0,0
100150,2024-05-30,2024-06-13,2024-06-03,1489,India,Net 30,9,3118.92,1949.28,A1,18,Wire,2,3,Overdue,Match,-444.33,1,0,0
100151,2024-05-31,2024-06-14,2024-06-04,1230,Germany,Net 60,2,35206.64,2085.79,D4,18,ACH,4,2,Paid,Match,498.94,-8,0,0
100152,2024-06-01,2024-06-15,2024-06-05,1040,India,Net 45,8,3258.54,3735.89,X99,18,Credit Card,2,66,Overdue,Mismatch,6956.24,4,1,1
100153,2024-06-02,2024-06-16,2024-06-06,1027,Germany,Net 60,9,45630.53,478.17,B2,12,Cash,3,19,Pending,Match,-339.73,-3,0,0
100154,2024-06-03,2024-06-17,2024-06-07,1134,India,Net 30,9,35253.09,2567.79,C3,18,Wire,3,9,Paid,Match,-262.83,-4,0,0
100155,2024-06-04,2024-06-18,2024-06-08,1200,UK,Net 45,9,25615.79,2825.33,C3,28,Cash,4,16,Paid,Mismatch,192.45,6,0,0
100156,2024-06-05,2024-06-19,2024-06-09,1839,UK,Net 60,2,22354.44,2475.85,C3,18,Cash,1,22,Paid,Mismatch,279.76,1,0,0
100157,2024-06-06,2024-06-20,2024-06-10,1779,USA,Net 30,4,6968.3,3662.05,B2,28,Wire,2,26,Pending,Match,-260.96,9,0,0
100158,2024-06-07,2024-06-21,2024-06-11,1929,India,Net 30,7,14904.47,1925.12,A1,28,ACH,3,28,Paid,Mismatch,-243.03,7,0,0
100159,2024-06-08,2024-06-22,2024-06-12,1032,China,Net 60,2,43513.48,4725.39,D4,12,ACH,2,4,Pending,Match,-192.88,7,0,0
100160,2024-06-09,2024-06-23,2024-06-13,1047,USA,Net 60,1,45270.41,2414.2,B2,18,Cash,3,10,Overdue,Match,98.02,4,0,0
100161,2024-06-10,2024-06-24,2024-06-14,1502,India,Net 60,3,537.01,2860.36,C3,12,ACH,2,19,Paid,Match,-328.18,-8,0,0
100162,2024-06-11,2024-06-25,2024-06-15,1406,India,Net 30,4,29909.75,4129.4,A1,28,Credit Card,1,13,Pending,Match,-395.76,8,0,0
100163,2024-06-12,2024-06-26,2024-06-16,1573,USA,Net 60,8,36105.38,1383.43,D4,5,Cash,4,18,Paid,Mismatch,178.86,4,0,0
100164,2024-06-13,2024-06-27,2024-06-17,1727,UK,Net 30,6,31127.98,385.26,D4,18,Cash,1,15,Overdue,Match,279.1,5,0,0
100165,2024-06-14,2024-06-28,2024-06-18,1804,India,Net 60,2,4543.15,3541.84,X99,12,Cash,2,30,Paid,Mismatch,3711.37,6,1,1
100166,2024-06-15,2024-06-29,2024-06-19,1098,UK,Net 30,9,11277.38,2420.23,B2,5,Credit Card,3,9,Overdue,Match,-136.17,-10,0,0
100167,2024-06-16,2024-06-30,2024-06-20,1683,USA,Net 30,2,12891.84,4483.56,D4,18,Cash,3,4,Paid,Mismatch,-67.96,0,0,0
100168,2024-06-17,2024-07-01,2024-06-21,1871,UK,Net 45,5,41670.37,4913.57,D4,18,ACH,4,29,Pending,Match,-111.59,-5,0,0
100169,2024-06-18,2024-07-02,2024-06-22,1725,Germany,Net 60,4,23428.37,2001.56,C3,12,ACH,1,16,Overdue,Mismatch,459.98,-2,0,0
100170,2024-06-19,2024-07-03,2024-06-23,1986,China,Net 60,7,24598.0,2083.04,D4,5,ACH,1,28,Paid,Match,268.09,9,0,0
